127.0.0.1 - - [25/Jun/2024:22:33:05 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [25/Jun/2024:22:33:10 +0530] "GET /LearningJstl/DemoServlet HTTP/1.1" 200 141
0:0:0:0:0:0:0:1 - - [25/Jun/2024:22:33:10 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [25/Jun/2024:22:43:14 +0530] "GET /LearningJstl/DemoServlet HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [25/Jun/2024:22:50:48 +0530] "GET /LearningJstl/DemoServlet HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [25/Jun/2024:22:51:32 +0530] "GET /LearningJstl/DemoServlet HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [25/Jun/2024:22:52:51 +0530] "GET /LearningJstl/DemoServlet HTTP/1.1" 200 241
0:0:0:0:0:0:0:1 - - [25/Jun/2024:22:53:04 +0530] "GET /LearningJstl/DemoServlet HTTP/1.1" 200 248
0:0:0:0:0:0:0:1 - - [25/Jun/2024:22:55:43 +0530] "GET /LearningJstl/DemoServlet HTTP/1.1" 200 281
0:0:0:0:0:0:0:1 - - [25/Jun/2024:23:23:10 +0530] "GET /LearningJstl/DemoServlet HTTP/1.1" 200 240
0:0:0:0:0:0:0:1 - - [25/Jun/2024:23:23:14 +0530] "GET /LearningJstl/DemoServlet HTTP/1.1" 200 240
